rank,City,avg_rating,review_count,rating_std,avg_polarity,rating_score,volume_score,sentiment_score,hotspot_score
1,Khopoli,4.6473,9655,0.7615,0.3879,0.894188941889419,0.7862118276005271,0.542355140186916,0.791429
2,Bengaluru,4.3814,54733,0.8,0.3254,0.8144181441814419,0.9470197905231477,0.4956261682242992,0.79044
3,New Delhi,4.2632,96937,0.8745,0.3165,0.7789577895778959,1.0,0.48897196261682246,0.787273
4,Mumbai,4.271,81483,0.8468,0.33,0.7812978129781297,0.9839030426518198,0.49906542056074776,0.785633
5,Amer,4.434,21055,0.7734,0.3887,0.8301983019830199,0.8584733177198589,0.5429532710280375,0.781232
6,Aluva,4.8219,1454,0.4786,0.4803,0.946569465694657,0.610789659525228,0.6114392523364486,0.778809
7,Agra,4.3126,39271,0.8521,0.3492,0.7937779377793778,0.9162492698382969,0.5134205607476636,0.774448
8,Hyderabad,4.2745,39622,0.8515,0.3285,0.7823478234782347,0.9170740195974337,0.49794392523364495,0.765885
9,Havelock Island,4.5175,7046,0.7568,0.3574,0.8552485524855249,0.75701664354766,0.5195514018691589,0.75864
10,Jaipur,4.2355,37717,0.8539,0.3235,0.7706477064770648,0.9125069803461311,0.49420560747663567,0.757917
11,Lonavala,4.4641,8474,0.8258,0.3656,0.8392283922839229,0.7741196315034211,0.5256822429906542,0.756987
12,Udaipur,4.2554,30333,0.8369,0.3335,0.7766177661776618,0.8923128282743696,0.5016822429906542,0.756339
13,Ahmedabad,4.3238,18732,0.8036,0.3326,0.7971379713797139,0.8476379899555958,0.5010093457943926,0.753062
14,Mysuru (Mysore),4.2814,22741,0.8376,0.3282,0.7844178441784416,0.8656130124944514,0.4977196261682244,0.751437
15,Gurugram (Gurgaon),4.3882,11395,0.822,0.3335,0.8164581645816459,0.8015689368566086,0.5016822429906542,0.749036
16,Chandigarh,4.3907,9991,0.8073,0.3478,0.8172081720817208,0.7893823072132067,0.512373831775701,0.747894
17,Srinagar,4.2882,17225,0.8284,0.3485,0.7864578645786457,0.8398643970355221,0.5128971962616823,0.747768
18,Morjim,4.6246,2107,0.6638,0.3824,0.8873788737887379,0.6451528754568454,0.5382429906542057,0.744884
19,Agonda,4.6197,2385,0.6805,0.3579,0.8859088590885908,0.6566351602657563,0.5199252336448598,0.74393
20,Jodhpur,4.2828,15745,0.8366,0.3407,0.7848378483784838,0.8315377520590177,0.5070654205607478,0.743293
21,Pune,4.2372,22907,0.8624,0.3098,0.7711577115771157,0.8662871227223132,0.48396261682243,0.742258
22,Kolkata,4.1861,30283,0.8708,0.2952,0.7558275582755827,0.892159920278727,0.4730467289719626,0.740171
23,Dabolim,4.7877,551,0.5084,0.4226,0.936309363093631,0.5209535386539861,0.5682990654205609,0.738101
24,Noida,4.4562,4849,0.8224,0.3376,0.8368583685836858,0.7223855950896442,0.504747663551402,0.736094
25,Manali,4.2489,15369,0.8366,0.3092,0.7746677466774667,0.829297551414466,0.4835140186915888,0.732826
26,Surat,4.4485,3556,0.8029,0.3785,0.8345483454834549,0.6936460995552246,0.5353271028037384,0.732433
27,Chennai,4.1707,24595,0.8969,0.2835,0.7512075120751208,0.8728771444445588,0.4642990654205609,0.730327
28,Nashik,4.3525,6596,0.854,0.3439,0.8057480574805748,0.7509003257075247,0.5094579439252338,0.730036
29,Pondicherry,4.2804,12271,0.8737,0.2978,0.7841178411784119,0.8084333382539098,0.4749906542056076,0.729587
30,Baga,4.3309,6589,0.8859,0.3518,0.7992679926799268,0.7508019214767843,0.5153644859813084,0.727947
31,Ooty,4.1906,16580,0.9026,0.318,0.7571775717757178,0.8363271329848275,0.49009345794392534,0.727506
32,Canacona,4.4733,3159,0.7702,0.3424,0.8419884198841988,0.6826766882196537,0.5083364485981309,0.727465
33,Gangtok,4.1997,16427,0.8624,0.3091,0.7599075990759907,0.8354678744207572,0.4834392523364486,0.727282
34,Nainital,4.3094,7961,0.817,0.333,0.7928179281792819,0.7683320439171508,0.5013084112149533,0.72717
35,Munnar,4.2306,11745,0.8374,0.339,0.7691776917769177,0.804372833284474,0.5057943925233646,0.72706
36,Kodaikanal,4.2371,11150,0.8591,0.3298,0.7711277112771128,0.7995544886328969,0.4989158878504674,0.725213
37,Kochi (Cochin),4.1852,19809,0.8593,0.2746,0.7555575555755557,0.8528193641181344,0.4576448598130841,0.725154
38,Visakhapatnam (Vizag),4.2346,9969,0.8545,0.335,0.7703777037770378,0.7891780015046889,0.502803738317757,0.722503
39,Mount Abu,4.2898,6871,0.8313,0.3432,0.7869378693786937,0.7546857921025842,0.5089345794392524,0.721662
40,Benaulim,4.5246,1750,0.7183,0.3545,0.857378573785738,0.6279540538603812,0.5173831775700936,0.720552
41,Cavelossim,4.5056,1958,0.7536,0.3473,0.8516785167851679,0.6383582079188889,0.512,0.719747
42,Trivandrum,4.2233,11179,0.8427,0.3026,0.7669876698766988,0.7997952305787697,0.4785794392523365,0.719148
43,Darjeeling,4.1857,13982,0.8704,0.2981,0.7557075570755707,0.8205313952076609,0.4752149532710281,0.719056
44,Shimla,4.1666,14757,0.905,0.3066,0.7499774997749977,0.8255313585109482,0.48157009345794394,0.718962
45,Mahabaleshwar,4.2514,7779,0.8394,0.3355,0.7754177541775419,0.7661886967202186,0.5031775700934581,0.718201
46,Bardez,4.3804,3478,0.8175,0.3473,0.8141181411814118,0.6915909271505747,0.512,0.716936
47,Varca,4.5174,1695,0.7366,0.3433,0.8552185521855219,0.6249959054280048,0.5090093457943925,0.71691
48,Leh,4.1392,16204,0.9184,0.2997,0.7417574175741757,0.834201050315838,0.47641121495327116,0.716421
49,Kovalam,4.3615,3914,0.8385,0.3373,0.8084480844808449,0.7025348458306724,0.5045233644859813,0.715889
50,Sadri,4.4051,2456,0.778,0.3705,0.8215282152821528,0.6593530804085366,0.5293457943925235,0.714439
51,Nileshwar,4.8087,183,0.5044,0.4431,0.9426094260942609,0.4191234427116429,0.5836261682242991,0.713767
52,Dharamsala,4.3302,4758,0.8334,0.3169,0.7990579905799057,0.7206299453399213,0.4892710280373832,0.713572
53,Amritsar,4.1489,16081,0.9902,0.2718,0.7446674466744668,0.833494828360852,0.45555140186915893,0.713492
54,Varkala Town,4.3768,3254,0.8198,0.3397,0.8130381303813039,0.6854221815416123,0.5063177570093459,0.713409
55,Panjim,4.2584,7114,0.8891,0.305,0.7775177751777518,0.7579067651812947,0.4803738317757009,0.712206
56,Navi Mumbai,4.3377,4057,0.7884,0.3288,0.8013080130801308,0.7058600823718784,0.49816822429906543,0.712046
57,Pahalgam,4.3241,3882,0.8467,0.3436,0.7972279722797226,0.7017741152386534,0.509233644859813,0.710993
58,Bhopal,4.2748,5324,0.851,0.3332,0.7824378243782437,0.7310459695995492,0.5014579439252337,0.710824
59,Vadodara,4.2592,5699,0.8212,0.3229,0.7777577775777758,0.7373538279431417,0.4937570093457944,0.708836
60,Mandrem,4.5719,876,0.6965,0.3561,0.871568715687157,0.56386508659906,0.5185794392523365,0.70866
