rank,Place,avg_rating,review_count,rating_std,avg_polarity,rating_score,volume_score,sentiment_score,hotspot_score
48,Gateway of India,4.1644,10710,0.8517,0.3414,0.7910999999999999,0.9172812060152532,0.6236571428571428,0.795466
49,Red Carpet Wax Museum,4.7673,894,0.4775,0.3686,0.9418249999999999,0.6520925286657746,0.6392,0.79438
50,DLF Mall Of India,4.656,1500,0.6618,0.3431,0.9139999999999999,0.7073334954808415,0.6246285714285714,0.794126
51,DLF Cyber Hub,4.4508,2786,0.7314,0.3677,0.8627,0.7734472800338424,0.6386857142857144,0.791121
52,Botanical Gardens,4.3875,3510,0.7668,0.3539,0.846875,0.798119472954661,0.6307999999999999,0.789033
53,Elefanjoy Elephant Sanctuary,4.8433,517,0.5025,0.3861,0.960825,0.5936694121525604,0.6491999999999999,0.788353
54,Rita's Gourmet Goa,4.7955,538,0.4986,0.4221,0.9488749999999999,0.5979151108292424,0.6697714285714286,0.787766
55,UB City,4.4394,2690,0.738,0.3601,0.85985,0.7697023700768737,0.6343428571428572,0.787704
56,Kankaria Lake,4.5167,1943,0.7065,0.3639,0.879175,0.7349630168641994,0.6365142857142858,0.787379
57,Akshardham Temple,4.4774,1994,0.7305,0.3908,0.8693500000000001,0.7377296793070364,0.6518857142857143,0.786371
58,Seaside Promenade,4.4323,2600,0.7475,0.3588,0.8580749999999999,0.766068141329435,0.6336,0.785578
59,Kovalam Beach,4.4216,2837,0.8098,0.346,0.8553999999999999,0.7753846263432762,0.6262857142857143,0.785573
60,Nicco Parks & Resorts Limited,4.764,750,0.5815,0.3384,0.9410000000000001,0.6333515600286224,0.6219428571428571,0.784894
61,Mahabaleshwar Hill Station,4.5085,1650,0.7438,0.3956,0.8771249999999999,0.7175095852763371,0.6546285714285714,0.784741
62,Prem Mandir - Shyama Shyam Dham,4.615,865,0.6336,0.4372,0.90375,0.648573477224583,0.6784,0.782127
63,Ranakpur Jain Temple,4.4042,2452,0.7782,0.3705,0.8510500000000001,0.759809236110629,0.6402857142857143,0.781525
64,Shree Siddhivinayak,4.282,5425,0.7943,0.2786,0.8205,0.8446253345960836,0.5877714285714285,0.781192
65,Varkala Beach,4.4689,1960,0.7924,0.3583,0.8672249999999999,0.7358932211507538,0.6333142857142857,0.781043
66,Varca Beach,4.5474,1478,0.6915,0.3494,0.8868499999999999,0.7057560221829091,0.6282285714285714,0.780798
67,Sri Chamarajendra Zoological Gardens,4.3606,3178,0.786,0.3384,0.84015,0.7875070004210775,0.6219428571428571,0.780716
68,Cavelossim Beach,4.5458,1473,0.7086,0.3494,0.88645,0.7053942337461514,0.6282285714285714,0.780489
69,Jantar Mantar - Jaipur,4.217,5871,0.79,0.3202,0.8042499999999999,0.8530646408173338,0.6115428571428572,0.780353
70,Benaulim Beach,4.5348,1496,0.6989,0.3534,0.8836999999999999,0.7070484091921878,0.6305142857142857,0.780067
71,VGP Snow Kingdom,4.7063,504,0.5754,0.4685,0.9265749999999999,0.5909539809289317,0.6962857142857144,0.779831
72,Elefriend,4.8385,291,0.4749,0.474,0.959625,0.5324287130461102,0.6994285714285714,0.779427
73,Make Bike Trip,4.8837,301,0.3955,0.4141,0.970925,0.5360262254390887,0.6651999999999999,0.77931
74,Kodaikanal Lake,4.3515,2970,0.7947,0.3537,0.8378749999999999,0.7802776112689443,0.6306857142857142,0.779158
75,Madurai Meenakshi Amman Temple,4.3283,3421,0.787,0.3277,0.8320749999999999,0.795376380951695,0.6158285714285715,0.777816
76,Mount Mary Basilica,4.5237,1371,0.6727,0.3672,0.880925,0.6977329942626498,0.6384,0.777462
77,Candolim Beach,4.4952,1555,0.7511,0.3629,0.8737999999999999,0.7111781898935827,0.6359428571428571,0.777442
78,ISKCON NVCC Temple,4.6229,777,0.6447,0.4154,0.9057249999999999,0.6371251015760774,0.6659428571428572,0.777189
79,Hawa Mahal - Palace of Wind,4.1712,6561,0.8487,0.3102,0.7928,0.8649341383053097,0.6058285714285715,0.777046
80,Dagadusheth Halwai Ganapati Temple,4.3393,3018,0.7789,0.3387,0.8348249999999999,0.7819898780092617,0.6221142857142857,0.776432
81,Namdroling Monastery,4.4055,2296,0.7443,0.337,0.851375,0.7527892716191626,0.6211428571428571,0.775753
82,Kailasagiri,4.4404,1410,0.7195,0.4313,0.8601000000000001,0.7007275164972395,0.6750285714285714,0.775274
83,Hidimba Devi Temple,4.2981,3673,0.7469,0.3152,0.824525,0.8029677012642416,0.6086857142857143,0.77489
84,Cubbon Park,4.4221,2310,0.7473,0.3082,0.8555250000000001,0.7534384508413917,0.6046857142857143,0.774731
85,Paradise Beach,4.413,2339,0.8234,0.3093,0.8532500000000001,0.7547707599478779,0.6053142857142857,0.774119
86,Make Our Moments,4.8192,260,0.5291,0.4794,0.9548000000000001,0.5204381434511145,0.7025142857142858,0.774034
87,Pangong Tso,4.3497,3266,0.8251,0.2803,0.8374250000000001,0.790424206186644,0.5887428571428571,0.773588
88,Japanese Peace Pagoda,4.6087,1007,0.6161,0.3177,0.902175,0.6647953030259062,0.6101142857142856,0.772549
89,Sheesh Mahal (Hall of Mirrors),4.33,2200,0.7743,0.4028,0.8325,0.7482282151688365,0.6587428571428572,0.772467
90,Worlds of Wonder,4.6461,777,0.7406,0.3481,0.9115249999999999,0.6371251015760774,0.6274857142857143,0.772397
91,West Coast Adventures,4.8716,257,0.4625,0.4097,0.9679,0.5192030311599583,0.6626857142857142,0.772248
92,Tsomgo Lake,4.2693,3491,0.8472,0.3345,0.8173250000000001,0.7975397529995014,0.6197142857142858,0.771867
93,Konkan Explorers,4.6793,552,0.6148,0.4008,0.9198249999999999,0.600654646143158,0.6576000000000001,0.771629
94,Nariman Point,4.3392,2264,0.7779,0.3716,0.8348,0.7512904514450118,0.6409142857142857,0.77097
95,Beas River,4.3701,2318,0.7846,0.3257,0.842525,0.7538076469695929,0.6146857142857142,0.770342
96,City Palace of Jaipur,4.1792,5140,0.849,0.3107,0.7948,0.8388610395702288,0.6061142857142857,0.770281
97,India Gate,4.0268,8330,1.0759,0.34,0.7566999999999999,0.8904346217018536,0.6228571428571429,0.770052
98,Gobindgarh Fort,4.6283,861,0.6761,0.3118,0.9070750000000001,0.6480788651222634,0.6067428571428571,0.76931
99,Dilwara Jain Temples,4.3608,1871,0.7668,0.3825,0.8402000000000001,0.7309309903052978,0.6471428571428571,0.768808
100,Nishat Garden,4.4369,1236,0.7377,0.4151,0.8592249999999999,0.6866668724023849,0.6657714285714286,0.768767
101,Jaswant Thada,4.387,1783,0.7606,0.361,0.8467499999999999,0.7257869058798269,0.6348571428571429,0.768083
102,Norbulingka Institute,4.5119,1090,0.6979,0.3613,0.877975,0.6732488675963146,0.6350285714285714,0.767968
103,Art of Living International Center,4.525,1160,0.7191,0.3284,0.8812500000000001,0.6798926789341285,0.6162285714285715,0.767839
104,Magic Planet Theme Park,4.7096,396,0.6276,0.426,0.9274,0.565246867461121,0.6719999999999999,0.767674
105,Flying Fox Neemrana,4.6723,470,0.6424,0.4188,0.918075,0.5835074742887105,0.6678857142857143,0.767667
106,Fever Pitch Basecamp Outbound,4.5762,847,0.7617,0.3479,0.89405,0.6463294642499292,0.6273714285714286,0.766398
107,The Rock Garden of Chandigarh,4.2787,3179,0.8917,0.3009,0.8196749999999999,0.787540601938347,0.6005142857142857,0.766203
108,Kashi Art Gallery,4.5959,678,0.7016,0.3867,0.8989750000000001,0.6225841422545302,0.6495428571428572,0.766171
109,Vagator Beach,4.4669,1208,0.7855,0.3632,0.866725,0.6842208059047771,0.6361142857142857,0.765852
110,Besant Nagar Beach,4.413,1586,0.7744,0.3435,0.8532500000000001,0.7132857458115262,0.6248571428571429,0.765582
111,Betaab Valley,4.421,1354,0.7651,0.3774,0.8552500000000001,0.6964009547147041,0.6442285714285714,0.765391
112,Golconda Fort,4.1826,4130,0.8735,0.3228,0.79565,0.8154929986893159,0.6130285714285714,0.765079
113,Bagore Ki Haveli Museum,4.278,2820,0.8,0.3238,0.8194999999999999,0.7747427398406541,0.6135999999999999,0.764893
114,Elephant Joy,4.7692,247,0.5404,0.468,0.9422999999999999,0.5149797135503486,0.696,0.764844
115,Zaara - The Luxury Spa,4.8409,176,0.4507,0.4841,0.9602250000000001,0.47894616500308335,0.7051999999999999,0.764836
116,Puri Beach,4.3688,1920,0.8415,0.3289,0.8422000000000001,0.7336914735050504,0.6165142857142857,0.76451
117,Raja's Seat,4.4597,1129,0.6934,0.3774,0.8649249999999999,0.6770012613225138,0.6442285714285714,0.764409
118,Thiksey Monastery,4.3869,1507,0.751,0.3716,0.846725,0.7078305732555561,0.6409142857142857,0.763895
119,ISKCON Temple Delhi,4.3554,2023,0.572,0.3235,0.8388500000000001,0.7392715048599253,0.6134285714285715,0.763892
120,The Mall,4.247,2875,0.836,0.3422,0.81175,0.7768056374516137,0.6241142857142857,0.76374
121,Jaisalmer Fort,4.1796,4149,0.8616,0.3125,0.7948999999999999,0.8159832505922936,0.6071428571428571,0.763674
122,Pykara Lake,4.3834,1599,0.7997,0.3562,0.84585,0.7141573341427074,0.6321142857142857,0.763595
123,Adventure Island,4.6913,460,0.7757,0.367,0.922825,0.5812147677784116,0.6382857142857142,0.763434
124,Kapaleeshwarar Temple,4.3401,2267,0.7512,0.3031,0.8350249999999999,0.7514318624825712,0.6017714285714285,0.763296
125,Shri Jagannath Temple,4.5562,703,0.6576,0.3897,0.8890499999999999,0.6264470367708442,0.6512571428571429,0.762711
126,ISKCON Temple,4.4977,864,0.6825,0.3926,0.874425,0.6484500387090852,0.6529142857142858,0.76233
127,Dal Lake,4.1425,5032,0.9654,0.2866,0.785625,0.8365927627983181,0.5923428571428572,0.762259
128,Solang Valley,4.238,2975,0.8956,0.3273,0.8095000000000001,0.7804572582311968,0.6155999999999999,0.762007
129,Adalaj Step-well,4.3617,1670,0.7543,0.3503,0.840425,0.7187960068789983,0.6287428571428572,0.7616
