Place,avg_rating,review_count,rating_std
Dr. Alvaro Loyola Furtado Mansion,5.0,2,0.0
St. Mary's Cathedral,5.0,2,0.0
Raghunath Mohapatra Art & Craft,5.0,1,
Kollam Kolli Waterfalls,5.0,2,0.0
Bhairo Baba Mandir,5.0,2,0.0
St. Mary House Boat Services,5.0,1,
Gurudwara Sahib,5.0,2,0.0
Lord Karthikeya Temple,5.0,1,
Dr. D. Ering Memorial Wildlife Sanctuary,5.0,2,0.0
Lunagad Creek,5.0,1,
Ballal Dhipi,5.0,1,
Iphipani Ghat,5.0,2,0.0
Perupalem Beach,5.0,1,
Indravati Reservoir,5.0,1,
Tibetian Art Gallery,5.0,1,
Tiffany's Antiques,5.0,2,0.0
Maa Bishahra Temple,5.0,1,
Ashoka Edicts,5.0,1,
Method Art Space,5.0,1,
PetraVeda,5.0,6,0.0
Fantasy World,5.0,2,0.0
Maa Kaali Mandir,5.0,1,
Tilting Art Gallery,5.0,2,0.0
Aryan Art Gallery,5.0,1,
Farmers' Market of Jaipur,5.0,2,0.0
Arya Ayurvedic Centre,5.0,8,0.0
Kali Mata Mandir,5.0,2,0.0
Tinytown.in,5.0,2,0.0
Holistic Spa & Salon Academy,5.0,2,0.0
Arvalem Waterfalls,5.0,1,
Faith In Jesus Assembly,5.0,1,
Fairy World,5.0,3,0.0
Odean Cinema,5.0,5,0.0
Atlantis Goa Holidays,5.0,2,0.0
Thiruverkadu Devi Karumariamman Temple,5.0,1,
Thol Isai Kalanjiyam,5.0,1,
Attraction,5.0,1,
Explore Spiti,5.0,2,0.0
Hanuman Lake,5.0,4,0.0
Tholkappia Poonga,5.0,2,0.0
Explore Wayanad,5.0,1,
Extreme Karts & Adventures,5.0,1,
Ezhimala View Point,5.0,5,0.0
Thorangtlang Wildlife Sanctuary,5.0,2,0.0
Pickup Fun Zone,5.0,1,
Microwave View Point,5.0,2,0.0
Ezhilam Tourism,5.0,1,
Asvathama Rock,5.0,4,0.0
Asuankundu Dam,5.0,2,0.0
Thumba Beach,5.0,7,0.0
Mermaid Aquatic Kingdom Mysore,5.0,2,0.0
Tipu Sultan Mosque,5.0,1,
Tauni Devi Temple,5.0,1,
Kali Puja,5.0,3,0.0
Payer Temple,5.0,1,
Art Mall,5.0,6,0.0
Art Indus,5.0,1,
Pawar Handloom,5.0,1,
Art Explore,5.0,1,
Treasure Island,5.0,1,
Fly Bir Billing,5.0,1,
Fly Star Adventure,5.0,2,0.0
Army 47,5.0,1,
Flying Bird Cab Services,5.0,2,0.0
Hari Mandir,5.0,3,0.0
Flying Carpet Handicrafts,5.0,3,0.0
Mekekattu Nadhikeshwara Temple,5.0,2,0.0
Kalki Boutique,5.0,1,
Fmg Mall,5.0,3,0.0
Trinity Beach,5.0,4,0.0
Keerti Stambh Victory Tower,5.0,2,0.0
Fit Rock Arena,5.0,2,0.0
Art Today,5.0,1,
Art World Gallery,5.0,2,0.0
Harbagwan Lake,5.0,1,
Holiday Water Resort,5.0,1,
Arunachala Handicrafts,5.0,1,
Arumugaswamy Temple,5.0,1,
Odissi Research Centre,5.0,2,0.0
Kerala Private Tours,5.0,12,0.0
Memoriale Sawai Mansingh,5.0,1,
Memorial of Chhingpui,5.0,1,
Tomb of Qutubuddin Muhammad Khan,5.0,2,0.0
