City,avg_polarity,avg_subjectivity,review_count,dominant_sentiment
Rohtas,0.4311,0.64,3,Positive
Supin Range,0.4309,0.6313,10,Positive
Sonapur Pathar,0.4308,0.6402,4,Positive
Kothamangalam,0.43,0.603,127,Positive
Tala,0.4296,0.5969,34,Positive
Shahdol,0.4296,0.7083,4,Positive
Bambolim,0.4293,0.6212,188,Positive
Pernem,0.4291,0.6202,32,Positive
Singarayakonda,0.4288,0.7083,2,Positive
Saharsa,0.4275,0.7167,5,Positive
Mannarkkad,0.4263,0.6046,71,Positive
Rajpura,0.4262,0.6799,15,Positive
Jalore,0.4259,0.5829,51,Positive
Poicha,0.4254,0.6325,110,Positive
Nedumkandam,0.4252,0.6291,47,Positive
Pomburpa,0.4242,0.8083,5,Positive
Khalapur,0.4232,0.6397,3,Positive
Dabolim,0.4226,0.6348,551,Positive
Sanvordem,0.4222,0.5975,32,Positive
Kainakary,0.4205,0.7062,5,Positive
Etmadpur,0.4203,0.5391,8,Positive
Bilimora,0.4198,0.5915,25,Positive
Palode,0.4182,0.55,2,Positive
Rampur,0.4174,0.4488,9,Positive
Ambur,0.4174,0.6236,12,Positive
Nedumbassery,0.4174,0.5956,40,Positive
Tapovan,0.4167,0.6113,311,Positive
Thiksey,0.4155,0.6456,19,Positive
Parwanoo,0.4154,0.6315,8,Positive
Shravanabelagola,0.4125,0.6542,2,Positive
Yanam,0.412,0.6057,20,Positive
Geyzing,0.4111,0.5281,365,Positive
Akluj,0.411,0.6094,57,Positive
Keonjhar,0.4108,0.6289,110,Positive
Baran,0.4102,0.6124,7,Positive
Siddapura,0.409,0.577,41,Positive
Muttom,0.4088,0.6888,21,Positive
Harigar,0.4083,0.6167,2,Positive
Rajmahal,0.4083,0.3917,3,Positive
Ranakpur,0.4075,0.6158,187,Positive
Jetpur,0.406,0.5779,16,Positive
Gosaba,0.4047,0.5812,49,Positive
Danapur,0.4036,0.4071,1,Positive
Motihari,0.4034,0.7194,9,Positive
Banjar,0.4032,0.5736,25,Positive
Somnathpur,0.4028,0.6206,25,Positive
Bera,0.4026,0.6411,48,Positive
Mira Bhayandar,0.402,0.6128,27,Positive
Wankaner,0.4,0.8,1,Positive
Manjakuppam,0.4,0.4,1,Positive
Ivrem-Buzruco,0.4,0.4667,1,Positive
Kalyani,0.4,0.6778,3,Positive
Garoi,0.3996,0.5692,5,Positive
Koraput,0.3991,0.5734,57,Positive
Azheekal,0.3983,0.5665,14,Positive
Vagator,0.3982,0.6083,158,Positive
Barabanki,0.3982,0.5001,7,Positive
Egatoor,0.3973,0.6176,4,Positive
Anantapur,0.3968,0.5884,124,Positive
Toranmal,0.3967,0.5716,10,Positive
Murthal,0.3965,0.5666,17,Positive
Bahadurgarh,0.3962,0.5838,15,Positive
Ganeshgudi,0.395,0.6124,57,Positive
Phalodi,0.3948,0.6935,7,Positive
Pothamedu,0.3948,0.6091,370,Positive
Igatpuri,0.3944,0.6145,401,Positive
Beed,0.3942,0.6177,18,Positive
Dindori,0.394,0.5274,7,Positive
Rewalsar,0.394,0.658,12,Positive
Batala,0.3933,0.4867,5,Positive
Cheruthuruthi,0.3917,0.6625,2,Positive
Lataguri,0.3904,0.6406,17,Positive
Shoghi,0.3903,0.634,72,Positive
Pune District,0.3902,0.6097,17,Positive
Joginder Nagar,0.3902,0.6517,12,Positive
Karsog,0.3901,0.5842,6,Positive
Koppa,0.3897,0.6457,6,Positive
Mayiladuthurai,0.3892,0.5185,29,Positive
Aamby Valley City,0.3892,0.5505,17,Positive
Seoni,0.3891,0.646,10,Positive
Bhind,0.3889,0.6227,8,Positive
Amer,0.3887,0.6164,21055,Positive
Anchal,0.3887,0.5219,3,Positive
Khopoli,0.3879,0.6114,9655,Positive
Ratlam,0.3877,0.6146,110,Positive
Khandwa,0.3873,0.5885,35,Positive
Kamshet,0.3873,0.5731,252,Positive
Kaushambi,0.3871,0.5887,542,Positive
Machilipatnam,0.3867,0.5744,33,Positive
Pulpally,0.3865,0.7104,4,Positive
Kuttikkanam,0.3844,0.5446,32,Positive
Talegaon,0.3841,0.5636,57,Positive
Teda,0.3839,0.585,86,Positive
Pilani,0.3834,0.5856,56,Positive
Ranipet,0.3833,0.3333,3,Positive
Valsad,0.3831,0.6031,434,Positive
Madhubani,0.3829,0.6061,11,Positive
Taoru,0.3825,0.6012,352,Positive
Morjim,0.3824,0.5991,2107,Positive
Firozabad,0.3811,0.5682,17,Positive
Bhawanipatna,0.3808,0.6072,37,Positive
Sirsa,0.3806,0.5139,53,Positive
Qadian,0.3804,0.6058,6,Positive
Khordha,0.3798,0.6101,9,Positive
Verinag,0.3793,0.6652,16,Positive
Dhanbad,0.3792,0.5722,367,Positive
Rajnandgaon,0.3788,0.5915,25,Positive
Surat,0.3785,0.5614,3556,Positive
Amboli,0.3779,0.5962,93,Positive
Rohtak,0.3777,0.5915,164,Positive
Yamunanagar,0.3774,0.5844,31,Positive
Hardoi,0.3771,0.616,12,Positive
Paithalmala,0.3767,0.5884,78,Positive
Malbazar,0.3767,0.52,5,Positive
Palakollu,0.3765,0.5762,22,Positive
Shamlaji,0.3764,0.6158,46,Positive
Pantnagar,0.3763,0.5913,16,Positive
Bhilwara,0.3762,0.592,106,Positive
Rohru,0.376,0.6565,20,Positive
Phulbani,0.3759,0.5821,20,Positive
Chaibasa,0.3753,0.5406,16,Positive
Chittorgarh,0.375,0.375,1,Positive
Chaukori,0.375,0.5589,14,Positive
Baneshwar,0.375,0.375,1,Positive
Harihar,0.3748,0.5814,21,Positive
Kudrasthe,0.3747,0.6384,6,Positive
Pinjore,0.374,0.5879,285,Positive
Nagaur,0.3739,0.5734,124,Positive
Mashobra,0.3735,0.6245,65,Positive
Sanguem,0.3729,0.5982,272,Positive
Kathua,0.3726,0.6533,14,Positive
Rajapalayam,0.3725,0.625,6,Positive
Udala,0.3719,0.681,4,Positive
Sirohi,0.3719,0.597,191,Positive
Sunkadahalli,0.3715,0.5978,386,Positive
Byndoor,0.3713,0.6003,15,Positive
Vemulawada,0.3712,0.7692,6,Positive
Nizamabad,0.3707,0.6248,51,Positive
