Place,primary_city
Adya Krantiveer Vasudev Balwant Phadke Auditorium,Panvel
Adyanpara Waterfalls,Nilambur
Adyar Library & Research Centre,Chennai
Adyar Poonga River Restoration Park,Chennai
Adyar Waterfalls,Mangalore
AeroCity Central,New Delhi
Aez Square Mall,Ghaziabad
Afghan Church,Mumbai
Afsal Mandir,Ernakulam
Afzal Khan Cenotaph,Bijapur
Aga Khan Palace,Pune
Agadi Thota,Hubli-Dharwad
Agam Kuan,Patna
Agape Fellowship Church,Jaipur
Agar Jitoo,Udhampur
Agara Lake,Bengaluru
Agasthiyar Falls,Tirunelveli
Agasthiyar Temple,Tirunelveli
Agasti Mandir Temple,Nashik
Agastya Lake,Badami
Agastya Mala,Trivandrum
Agastya Rishi Ashram,Ahmednagar
Agastyamuni Temple,Nagrasu
"Agatheeswaran Akilandeswari Temple , Nungambakkam",Chennai
Aggarwal Mall,Ahmedabad
Aghanjar Mahadev Temple,Dharamsala
Agini Lingam,Tiruvannamalai
Aglod Jain Tirth,Mehsana
Agni Mandir,Kolkata
Agnigarh Hill,Tezpur
Agnipureeswarar Temple,Thiruvarur
Agnitheertham,Rameswaram
Agonda Beach,Agonda
Agora Mall,Gandhinagar
Agori Fort,Mirzapur
Agra Art Gallery,Agra
Agra Fort,Agra
Agra Fort Railway Station,Agra
Agrakalpa Art Gallery,Dehradun
Agrasen Ki Baoli - Leamigo,New Delhi
Agri Koli Sanskriti Bhavan,Navi Mumbai
Agricultural College and Research Institute,Madurai
Agroha Dham,Hisar
Agumbe Ghat,Agumbe
Agumbe Rainforest Research Station,Agumbe
Agumbe Sunset View Point,Agumbe
Ahal Dara View Point,Darjeeling
Ahar Cenotaphs,Udaipur
Ahar Museum,Udaipur
Aharbal Waterfall,Pulwama
Ahilya Ghat,Omkareshwar
Ahilyabai Ghat,Varanasi
Ahilyabai Ghats,Maheshwar
Ahilyeshwar Temple,Maheshwar
Ahinsa Sthal,New Delhi
Ahluwalia's The Great Mall of Kota,Kota
Ahmad Shah's Tomb,Ahmedabad
Ahmed Khan's Mosque and Tomb,Hampi
Ahmedabad Haat,Ahmedabad
Ahmedabad One Mall,Ahmedabad
Ahmedganj Palace,Murud
Ahmednagar Fort,Ahmednagar
Ahmedpur Mandvi Beach,Junagadh
Ahobilam Temple,Kurnool
